Strata,BETA,SEBeta,RR,Low95%CI,Upper95%CI,BETA,SEBeta,RR,Low95%CI,Upper95%CI,BETA,SEBeta,RR,Low95%CI,Upper95%CI,BETA,SEBeta,RR,Low95%CI,Upper95%CI
Air Pollutant:,AQHI,,IQR=1,,,CO,,IQR=0.1,,,O3,,IQR=12.8,,,PM2.5,,IQR=6.5,,
Cold Female,0.008391,0.008422,1.008426105,0.9919167,1.02521,0.159631,0.059845,1.016091215,1.004242555,1.02808,-0.004281,0.001025,0.946682595,0.922651906,0.971339,0.001585,0.000935,1.010354982,0.998386187,1.022467
Cold Male,-0.015269,0.010867,0.984846754,0.964091077,1.006049,-0.072679,0.078156,0.992758413,0.977666618,1.008083,-0.000117,0.001318,0.998508241,0.966033574,1.032075,-0.00132,0.001216,0.991456851,0.976216008,1.006936
Age 0-10 All,-0.002439,0.031003,0.997563853,0.938751405,1.060061,-0.041541,0.287626,0.995854566,0.941266803,1.053608,-0.000653,0.00357,0.991675208,0.906713959,1.084598,0.001626,0.00398,1.0106225,0.960657573,1.063186
Age 0-10 Female,0.013513,0.041468,1.013604288,0.934480386,1.099428,0.183466,0.391911,1.018515943,0.9432084,1.099836,-0.001564,0.004687,0.980184471,0.871446948,1.10249,0.005058,0.005258,1.033422856,0.966469231,1.105015
Age 0-10 Male,-0.015045,0.039571,0.985067945,0.911555015,1.064509,-0.211755,0.362997,0.979047117,0.911810587,1.051242,0.00017,0.004632,1.002176767,0.892232833,1.125668,-0.001241,0.00513,0.991968642,0.929205145,1.058972
Age 11-60 All,-0.00799,0.007467,0.992041789,0.977629244,1.006667,0.054311,0.068111,1.005445889,0.992112663,1.018958,-0.001812,0.000874,0.977069517,0.955874074,0.998735,-0.000558,0.000943,0.996381592,0.984479067,1.008428
Age 11-60 Female,0.009356,0.009288,1.009399598,0.991189679,1.027944,0.177162,0.084208,1.017874096,1.001212285,1.034813,-0.001153,0.001092,0.985348811,0.958730239,1.012706,0.001412,0.00117,1.009219066,0.994282773,1.02438
Age 11-60 Male,-0.038032,0.012162,0.962682532,0.940005206,0.985907,-0.164305,0.111751,0.983703735,0.962391675,1.005488,-0.002956,0.001416,0.962875393,0.929263373,0.997703,-0.004026,0.001545,0.974170568,0.955189192,0.993529
Age 60+All,-0.007584,0.012087,0.99244446,0.969208733,1.016237,0.131232,0.110186,1.013209677,0.991562589,1.035329,-0.003755,0.001405,0.953074448,0.920059792,0.987274,-0.001048,0.001534,0.993209025,0.973988649,1.012809
Age 60+ Female,-0.004365,0.01586,0.995644252,0.96517046,1.02708,0.207264,0.144842,1.020942663,0.992366651,1.050342,-0.005036,0.001858,0.937569578,0.894860045,0.982318,-0.000122,0.002005,0.999204809,0.974008876,1.025053
